"crafty_syntax_leave_message_id` bigint NOT NULL auto_increment","department_id` bigint NOT NULL DEFAULT 0","email` varchar(255) NOT NULL DEFAULT ''","phone` varchar(45)","name` varchar(200)","subject` varchar(255) NOT NULL DEFAULT ''","message` text","priority` tinyint NOT NULL DEFAULT 2","session_data` text","form_data` text","ip_address` varchar(45)","user_agent` varchar(255)","status` enum('new','in_progress','resolved','spam') NOT NULL DEFAULT 'new'","assigned_to` bigint","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
16,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123728,20260220133936,0,
17,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123728,20260220133936,0,
18,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123729,20260220133936,0,
19,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123730,20260220133936,0,
20,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123731,20260220133936,0,
21,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123732,20260220133936,0,
22,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123850,20260220133936,0,
23,0,sample@email.tst,,," - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_6=sample%40email.tst&field_7=555,,,new,,20251126123853,20260220133936,0,
24,0,sample@email.tst,,," - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_6=sample%40email.tst&field_7=555,,,new,,20251126123900,20260220133936,0,
25,0,sample@email.tst,,," - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_6=sample%40email.tst&field_7=555,,,new,,20251126123906,20260220133936,0,
26,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123935,20260220133936,0,
27,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123954,20260220133936,0,
28,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123954,20260220133936,0,
29,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126124001,20260220133936,0,
30,1,lupopedia@gmail.com,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F143.0.0.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=96.3.230.164,this=that&field_1=lupopedia%40gmail.com&field_2=fdsafdsa,,,new,,20251228002640,20260220133936,0,
31,1,ermand@duck.com,,,"default - Contact",,2,referer=http%3A%2F%2Finstallatron.com%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F144.0.0.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=86.15.122.117,this=that&field_1=ermand%40duck.com&field_2=fdsafds,,,new,,20260210162538,20260220133936,0,
